host,issue_id,severity,issue,finding,remediation
145.26.155.78,VULN-00038,MEDIUM,config_issue,Misconfig found,Fix config
227.254.181.224,VULN-00039,LOW,weak_cipher,Weak cipher detected,Restrict port
25.101.165.52,VULN-00040,HIGH,weak_cipher,Weak cipher detected,Apply patch
241.178.172.193,VULN-00041,CRITICAL,config_issue,Open port exposed,Fix config
116.204.139.187,VULN-00042,LOW,weak_cipher,Misconfig found,Apply patch
28.56.150.120,VULN-00043,CRITICAL,open_port,Weak cipher detected,Restrict port
138.112.241.155,VULN-00044,MEDIUM,weak_cipher,Misconfig found,Fix config
88.6.225.62,VULN-00045,HIGH,open_port,Weak cipher detected,Apply patch
183.188.113.242,VULN-00046,MEDIUM,weak_cipher,Misconfig found,Restrict port
200.68.201.241,VULN-00047,CRITICAL,config_issue,Weak cipher detected,Restrict port
39.44.90.239,VULN-00048,HIGH,weak_cipher,Weak cipher detected,Restrict port
251.106.87.105,VULN-00049,CRITICAL,config_issue,Misconfig found,Apply patch
212.105.56.13,VULN-00050,CRITICAL,open_port,Misconfig found,Apply patch
186.68.133.97,VULN-00051,LOW,config_issue,Open port exposed,Fix config
215.252.224.163,VULN-00052,CRITICAL,open_port,Open port exposed,Fix config
142.53.92.200,VULN-00053,LOW,weak_cipher,Misconfig found,Apply patch
194.211.110.11,VULN-00054,HIGH,open_port,Weak cipher detected,Apply patch
126.68.197.191,VULN-00055,MEDIUM,weak_cipher,Weak cipher detected,Fix config
106.247.75.107,VULN-00056,MEDIUM,open_port,Misconfig found,Fix config
211.196.222.235,VULN-00057,LOW,weak_cipher,Misconfig found,Fix config
213.209.157.124,VULN-00058,MEDIUM,open_port,Weak cipher detected,Restrict port
22.136.51.164,VULN-00059,LOW,config_issue,Weak cipher detected,Restrict port
84.200.105.226,VULN-00060,CRITICAL,open_port,Misconfig found,Restrict port
203.83.199.192,VULN-00061,HIGH,open_port,Open port exposed,Restrict port
211.104.184.40,VULN-00062,HIGH,config_issue,Open port exposed,Apply patch
217.122.52.117,VULN-00063,HIGH,open_port,Open port exposed,Apply patch
205.222.237.9,VULN-00064,LOW,config_issue,Weak cipher detected,Fix config
34.53.106.197,VULN-00065,HIGH,config_issue,Open port exposed,Restrict port
46.216.127.25,VULN-00066,CRITICAL,weak_cipher,Misconfig found,Restrict port
24.132.40.17,VULN-00067,HIGH,open_port,Misconfig found,Apply patch
80.48.96.6,VULN-00068,HIGH,config_issue,Open port exposed,Apply patch
163.212.62.86,VULN-00069,MEDIUM,open_port,Open port exposed,Apply patch
193.77.122.164,VULN-00070,LOW,open_port,Weak cipher detected,Fix config
137.134.222.181,VULN-00071,CRITICAL,config_issue,Misconfig found,Apply patch
164.74.136.37,VULN-00072,MEDIUM,config_issue,Misconfig found,Fix config
157.85.127.158,VULN-00073,LOW,weak_cipher,Misconfig found,Restrict port
159.171.203.78,VULN-00074,HIGH,weak_cipher,Misconfig found,Apply patch
225.168.62.154,VULN-00075,LOW,weak_cipher,Misconfig found,Restrict port
170.44.254.32,VULN-00076,MEDIUM,weak_cipher,Misconfig found,Fix config
231.32.83.241,VULN-00077,HIGH,weak_cipher,Open port exposed,Restrict port
25.150.220.204,VULN-00078,CRITICAL,open_port,Weak cipher detected,Fix config
107.74.79.138,VULN-00079,LOW,weak_cipher,Weak cipher detected,Fix config
54.165.198.246,VULN-00080,HIGH,config_issue,Open port exposed,Fix config
148.106.186.68,VULN-00081,MEDIUM,config_issue,Misconfig found,Fix config
145.190.65.177,VULN-00082,MEDIUM,open_port,Weak cipher detected,Fix config
65.28.7.26,VULN-00083,LOW,open_port,Weak cipher detected,Apply patch
22.113.216.239,VULN-00084,LOW,open_port,Open port exposed,Fix config
138.39.61.141,VULN-00085,CRITICAL,config_issue,Weak cipher detected,Restrict port
200.105.37.120,VULN-00086,HIGH,open_port,Open port exposed,Restrict port
234.237.248.76,VULN-00087,HIGH,weak_cipher,Weak cipher detected,Apply patch
25.155.84.119,VULN-00088,HIGH,open_port,Weak cipher detected,Apply patch
115.250.182.122,VULN-00089,HIGH,weak_cipher,Open port exposed,Apply patch
17.16.129.3,VULN-00090,HIGH,weak_cipher,Misconfig found,Fix config
183.233.184.210,VULN-00091,CRITICAL,config_issue,Misconfig found,Restrict port
90.181.251.52,VULN-00092,CRITICAL,weak_cipher,Weak cipher detected,Apply patch
84.250.244.95,VULN-00093,MEDIUM,config_issue,Open port exposed,Fix config
205.202.176.79,VULN-00094,LOW,open_port,Weak cipher detected,Fix config
165.241.128.194,VULN-00095,CRITICAL,config_issue,Misconfig found,Restrict port
69.135.108.206,VULN-00096,LOW,weak_cipher,Misconfig found,Fix config
83.177.136.248,VULN-00097,HIGH,weak_cipher,Misconfig found,Apply patch
226.54.63.220,VULN-00098,MEDIUM,weak_cipher,Weak cipher detected,Restrict port
140.199.190.102,VULN-00099,MEDIUM,weak_cipher,Misconfig found,Restrict port
196.112.39.145,VULN-00100,HIGH,config_issue,Weak cipher detected,Apply patch
201.89.239.127,VULN-00101,CRITICAL,weak_cipher,Misconfig found,Apply patch
128.213.34.175,VULN-00102,CRITICAL,config_issue,Weak cipher detected,Restrict port
242.23.78.141,VULN-00103,HIGH,weak_cipher,Open port exposed,Apply patch
88.172.130.17,VULN-00104,LOW,open_port,Misconfig found,Apply patch
30.114.86.95,VULN-00105,CRITICAL,open_port,Open port exposed,Fix config
53.151.55.136,VULN-00106,LOW,open_port,Open port exposed,Fix config
48.194.152.241,VULN-00107,HIGH,open_port,Misconfig found,Apply patch
234.144.200.30,VULN-00108,LOW,weak_cipher,Weak cipher detected,Fix config
79.76.4.231,VULN-00109,HIGH,config_issue,Weak cipher detected,Apply patch
111.1.17.177,VULN-00110,HIGH,config_issue,Weak cipher detected,Restrict port
96.213.161.224,VULN-00111,MEDIUM,open_port,Misconfig found,Apply patch
231.230.250.191,VULN-00112,CRITICAL,weak_cipher,Weak cipher detected,Restrict port
66.165.19.181,VULN-00113,CRITICAL,config_issue,Open port exposed,Restrict port
155.229.160.53,VULN-00114,HIGH,open_port,Weak cipher detected,Fix config
230.41.118.66,VULN-00115,MEDIUM,weak_cipher,Misconfig found,Restrict port
93.173.239.19,VULN-00116,CRITICAL,open_port,Open port exposed,Fix config
154.106.115.239,VULN-00117,HIGH,open_port,Misconfig found,Fix config
82.152.198.46,VULN-00118,HIGH,weak_cipher,Misconfig found,Apply patch
218.113.90.44,VULN-00119,CRITICAL,weak_cipher,Misconfig found,Fix config
141.142.172.196,VULN-00120,HIGH,open_port,Weak cipher detected,Apply patch
125.175.98.58,VULN-00121,HIGH,config_issue,Weak cipher detected,Apply patch
208.172.56.254,VULN-00122,CRITICAL,open_port,Misconfig found,Restrict port
146.127.160.61,VULN-00123,MEDIUM,config_issue,Misconfig found,Apply patch
130.227.19.68,VULN-00124,MEDIUM,config_issue,Open port exposed,Restrict port
181.73.87.204,VULN-00125,LOW,open_port,Misconfig found,Restrict port
214.60.3.143,VULN-00126,HIGH,config_issue,Weak cipher detected,Restrict port
138.64.165.66,VULN-00127,LOW,weak_cipher,Weak cipher detected,Apply patch
95.1.85.7,VULN-00128,HIGH,open_port,Weak cipher detected,Restrict port
29.138.174.141,VULN-00129,HIGH,open_port,Misconfig found,Restrict port
193.98.186.168,VULN-00130,CRITICAL,open_port,Open port exposed,Restrict port
103.244.137.237,VULN-00131,HIGH,config_issue,Weak cipher detected,Fix config
41.103.115.122,VULN-00132,CRITICAL,open_port,Misconfig found,Apply patch
51.245.114.76,VULN-00133,CRITICAL,config_issue,Misconfig found,Fix config
19.75.60.9,VULN-00134,CRITICAL,weak_cipher,Misconfig found,Fix config
181.108.20.7,VULN-00135,MEDIUM,weak_cipher,Misconfig found,Fix config
187.207.217.59,VULN-00136,MEDIUM,open_port,Open port exposed,Fix config
8.69.155.206,VULN-00137,CRITICAL,open_port,Weak cipher detected,Fix config
153.180.97.77,VULN-00138,MEDIUM,config_issue,Weak cipher detected,Fix config
251.97.52.186,VULN-00139,MEDIUM,open_port,Open port exposed,Fix config
211.180.68.150,VULN-00140,HIGH,open_port,Open port exposed,Apply patch
128.145.168.47,VULN-00141,LOW,config_issue,Open port exposed,Fix config
91.145.51.25,VULN-00142,LOW,config_issue,Open port exposed,Apply patch
18.47.19.250,VULN-00143,MEDIUM,config_issue,Weak cipher detected,Restrict port
218.114.114.139,VULN-00144,HIGH,config_issue,Misconfig found,Fix config
108.127.183.199,VULN-00145,CRITICAL,weak_cipher,Misconfig found,Apply patch
50.225.21.124,VULN-00146,HIGH,weak_cipher,Misconfig found,Restrict port
20.53.136.148,VULN-00147,LOW,open_port,Weak cipher detected,Restrict port
204.76.145.187,VULN-00148,HIGH,config_issue,Misconfig found,Restrict port
97.177.191.151,VULN-00149,HIGH,open_port,Open port exposed,Fix config
3.247.185.247,VULN-00150,LOW,config_issue,Open port exposed,Restrict port
35.240.156.36,VULN-00151,MEDIUM,open_port,Open port exposed,Restrict port
249.25.64.17,VULN-00152,MEDIUM,open_port,Open port exposed,Apply patch
226.62.118.19,VULN-00153,CRITICAL,weak_cipher,Open port exposed,Fix config
187.34.191.14,VULN-00154,LOW,open_port,Misconfig found,Fix config
205.238.253.136,VULN-00155,CRITICAL,open_port,Open port exposed,Restrict port
44.113.71.138,VULN-00156,MEDIUM,weak_cipher,Weak cipher detected,Apply patch
222.182.40.83,VULN-00157,CRITICAL,weak_cipher,Open port exposed,Restrict port
1.40.90.212,VULN-00158,LOW,config_issue,Open port exposed,Restrict port
244.187.205.239,VULN-00159,MEDIUM,config_issue,Open port exposed,Fix config
112.244.12.187,VULN-00160,CRITICAL,weak_cipher,Open port exposed,Apply patch
103.80.8.211,VULN-00161,CRITICAL,config_issue,Misconfig found,Restrict port
41.199.151.81,VULN-00162,LOW,weak_cipher,Misconfig found,Fix config
49.113.47.127,VULN-00163,MEDIUM,open_port,Weak cipher detected,Fix config
137.72.239.106,VULN-00164,HIGH,open_port,Weak cipher detected,Restrict port
170.156.90.70,VULN-00165,LOW,open_port,Weak cipher detected,Apply patch
179.113.107.58,VULN-00166,LOW,config_issue,Open port exposed,Fix config
122.160.109.128,VULN-00167,CRITICAL,weak_cipher,Open port exposed,Restrict port
156.224.215.166,VULN-00168,MEDIUM,weak_cipher,Misconfig found,Fix config
67.113.148.232,VULN-00169,MEDIUM,weak_cipher,Misconfig found,Restrict port
86.223.131.32,VULN-00170,LOW,weak_cipher,Open port exposed,Restrict port
230.78.247.248,VULN-00171,CRITICAL,weak_cipher,Weak cipher detected,Restrict port
24.200.9.169,VULN-00172,HIGH,weak_cipher,Open port exposed,Fix config
238.145.83.34,VULN-00173,CRITICAL,config_issue,Weak cipher detected,Apply patch
205.74.246.107,VULN-00174,HIGH,open_port,Weak cipher detected,Restrict port
238.94.87.187,VULN-00175,MEDIUM,config_issue,Open port exposed,Fix config
33.208.132.231,VULN-00176,LOW,config_issue,Weak cipher detected,Apply patch
53.126.122.161,VULN-00177,MEDIUM,weak_cipher,Misconfig found,Fix config
129.14.142.79,VULN-00178,HIGH,config_issue,Weak cipher detected,Restrict port
33.192.36.23,VULN-00179,MEDIUM,config_issue,Misconfig found,Apply patch
23.169.218.58,VULN-00180,LOW,weak_cipher,Misconfig found,Fix config
99.42.121.219,VULN-00181,HIGH,open_port,Misconfig found,Fix config
12.46.222.94,VULN-00182,CRITICAL,weak_cipher,Weak cipher detected,Fix config
125.204.10.58,VULN-00183,HIGH,open_port,Misconfig found,Restrict port
207.58.59.78,VULN-00184,MEDIUM,open_port,Open port exposed,Fix config
181.181.159.171,VULN-00185,HIGH,open_port,Open port exposed,Fix config
216.152.13.212,VULN-00186,LOW,config_issue,Open port exposed,Restrict port
18.136.184.160,VULN-00187,CRITICAL,config_issue,Misconfig found,Restrict port
160.88.6.98,VULN-00188,MEDIUM,weak_cipher,Open port exposed,Restrict port
206.98.183.225,VULN-00189,LOW,config_issue,Open port exposed,Restrict port
40.248.67.213,VULN-00190,MEDIUM,open_port,Weak cipher detected,Restrict port
170.246.17.56,VULN-00191,MEDIUM,open_port,Open port exposed,Fix config
70.86.247.234,VULN-00192,LOW,weak_cipher,Misconfig found,Apply patch
35.121.102.97,VULN-00193,MEDIUM,open_port,Open port exposed,Apply patch
110.48.21.117,VULN-00194,LOW,config_issue,Misconfig found,Apply patch
218.58.168.152,VULN-00195,CRITICAL,weak_cipher,Misconfig found,Fix config
250.152.182.215,VULN-00196,LOW,config_issue,Misconfig found,Restrict port
81.96.29.127,VULN-00197,CRITICAL,open_port,Open port exposed,Fix config
14.83.31.159,VULN-00198,CRITICAL,config_issue,Misconfig found,Fix config
89.191.242.69,VULN-00199,LOW,weak_cipher,Open port exposed,Fix config
144.155.19.51,VULN-00200,CRITICAL,open_port,Open port exposed,Apply patch
62.207.50.191,VULN-00201,CRITICAL,open_port,Open port exposed,Restrict port
187.72.53.42,VULN-00202,HIGH,weak_cipher,Open port exposed,Restrict port
196.246.93.108,VULN-00203,LOW,weak_cipher,Open port exposed,Apply patch
252.120.186.182,VULN-00204,HIGH,weak_cipher,Open port exposed,Restrict port
46.130.99.81,VULN-00205,HIGH,weak_cipher,Weak cipher detected,Restrict port
38.61.246.54,VULN-00206,HIGH,config_issue,Misconfig found,Restrict port
189.131.134.174,VULN-00207,HIGH,open_port,Misconfig found,Restrict port
50.139.25.14,VULN-00208,CRITICAL,open_port,Misconfig found,Apply patch
231.138.166.95,VULN-00209,HIGH,open_port,Open port exposed,Restrict port
199.216.224.36,VULN-00210,MEDIUM,weak_cipher,Weak cipher detected,Apply patch
196.121.21.5,VULN-00211,HIGH,config_issue,Misconfig found,Apply patch
131.142.77.209,VULN-00212,MEDIUM,open_port,Misconfig found,Restrict port
181.150.219.78,VULN-00213,LOW,open_port,Weak cipher detected,Apply patch
30.78.205.155,VULN-00214,LOW,config_issue,Misconfig found,Restrict port
192.44.29.116,VULN-00215,CRITICAL,config_issue,Weak cipher detected,Apply patch
44.135.232.168,VULN-00216,CRITICAL,config_issue,Open port exposed,Fix config
222.205.155.121,VULN-00217,LOW,weak_cipher,Weak cipher detected,Restrict port
86.164.197.111,VULN-00218,MEDIUM,open_port,Open port exposed,Restrict port
20.184.175.214,VULN-00219,CRITICAL,weak_cipher,Misconfig found,Restrict port
27.32.231.36,VULN-00220,MEDIUM,config_issue,Misconfig found,Restrict port
44.3.173.145,VULN-00221,LOW,config_issue,Open port exposed,Fix config
68.158.8.213,VULN-00222,HIGH,weak_cipher,Open port exposed,Restrict port
77.133.30.16,VULN-00223,CRITICAL,weak_cipher,Weak cipher detected,Apply patch
52.174.170.167,VULN-00224,HIGH,weak_cipher,Weak cipher detected,Apply patch
100.207.218.13,VULN-00225,LOW,config_issue,Weak cipher detected,Restrict port
201.79.39.122,VULN-00226,HIGH,weak_cipher,Misconfig found,Fix config
101.251.44.41,VULN-00227,CRITICAL,weak_cipher,Misconfig found,Apply patch
199.124.236.11,VULN-00228,LOW,open_port,Weak cipher detected,Fix config
96.171.165.128,VULN-00229,MEDIUM,open_port,Open port exposed,Apply patch
73.249.247.113,VULN-00230,CRITICAL,weak_cipher,Weak cipher detected,Fix config
172.246.124.116,VULN-00231,MEDIUM,config_issue,Misconfig found,Restrict port
89.77.78.161,VULN-00232,MEDIUM,weak_cipher,Misconfig found,Fix config
103.92.245.145,VULN-00233,HIGH,config_issue,Weak cipher detected,Apply patch
160.220.25.89,VULN-00234,CRITICAL,weak_cipher,Misconfig found,Restrict port
56.216.233.230,VULN-00235,CRITICAL,config_issue,Misconfig found,Apply patch
215.235.148.228,VULN-00236,CRITICAL,config_issue,Open port exposed,Restrict port
158.88.149.221,VULN-00237,LOW,weak_cipher,Misconfig found,Fix config
23.168.237.120,VULN-00238,LOW,open_port,Weak cipher detected,Apply patch
16.177.181.168,VULN-00239,CRITICAL,config_issue,Misconfig found,Fix config
31.106.183.156,VULN-00240,LOW,config_issue,Open port exposed,Fix config
118.65.221.103,VULN-00241,CRITICAL,open_port,Open port exposed,Fix config
141.56.213.11,VULN-00242,CRITICAL,config_issue,Open port exposed,Apply patch
194.241.247.54,VULN-00243,CRITICAL,weak_cipher,Open port exposed,Restrict port
227.143.82.76,VULN-00244,CRITICAL,weak_cipher,Weak cipher detected,Fix config
178.238.217.18,VULN-00245,HIGH,open_port,Open port exposed,Restrict port
112.107.163.97,VULN-00246,CRITICAL,config_issue,Open port exposed,Restrict port
69.225.58.108,VULN-00247,HIGH,open_port,Misconfig found,Restrict port
71.3.73.231,VULN-00248,HIGH,open_port,Misconfig found,Fix config
171.152.243.18,VULN-00249,LOW,config_issue,Open port exposed,Fix config
51.6.14.45,VULN-00250,MEDIUM,weak_cipher,Open port exposed,Fix config
114.16.200.119,VULN-00251,MEDIUM,open_port,Weak cipher detected,Apply patch
17.131.198.66,VULN-00252,CRITICAL,config_issue,Weak cipher detected,Apply patch
157.100.114.51,VULN-00253,CRITICAL,config_issue,Open port exposed,Restrict port
23.150.242.252,VULN-00254,HIGH,config_issue,Misconfig found,Apply patch
193.91.64.115,VULN-00255,CRITICAL,open_port,Weak cipher detected,Restrict port
71.59.66.13,VULN-00256,CRITICAL,open_port,Misconfig found,Apply patch
151.29.248.17,VULN-00257,CRITICAL,weak_cipher,Open port exposed,Restrict port
208.209.208.186,VULN-00258,CRITICAL,weak_cipher,Misconfig found,Fix config
25.195.177.240,VULN-00259,LOW,open_port,Misconfig found,Fix config
139.202.137.141,VULN-00260,CRITICAL,weak_cipher,Open port exposed,Fix config
181.107.172.5,VULN-00261,MEDIUM,weak_cipher,Misconfig found,Restrict port
197.229.82.11,VULN-00262,HIGH,config_issue,Misconfig found,Restrict port
5.95.12.24,VULN-00263,LOW,config_issue,Misconfig found,Fix config
56.47.79.238,VULN-00264,HIGH,weak_cipher,Open port exposed,Fix config
115.86.88.95,VULN-00265,HIGH,open_port,Weak cipher detected,Fix config
3.148.136.154,VULN-00266,LOW,config_issue,Weak cipher detected,Apply patch
42.83.215.169,VULN-00267,HIGH,config_issue,Misconfig found,Apply patch
175.211.70.100,VULN-00268,LOW,weak_cipher,Weak cipher detected,Fix config
197.149.245.124,VULN-00269,CRITICAL,weak_cipher,Weak cipher detected,Apply patch
196.166.97.208,VULN-00270,CRITICAL,open_port,Weak cipher detected,Restrict port
44.91.149.201,VULN-00271,MEDIUM,weak_cipher,Weak cipher detected,Restrict port
68.124.129.24,VULN-00272,CRITICAL,config_issue,Misconfig found,Apply patch
142.67.127.107,VULN-00273,LOW,open_port,Weak cipher detected,Fix config
169.17.63.181,VULN-00274,MEDIUM,open_port,Misconfig found,Restrict port
161.28.98.59,VULN-00275,CRITICAL,open_port,Open port exposed,Apply patch
4.212.202.200,VULN-00276,HIGH,config_issue,Weak cipher detected,Apply patch
15.138.195.240,VULN-00277,MEDIUM,weak_cipher,Misconfig found,Fix config
3.89.209.119,VULN-00278,LOW,weak_cipher,Misconfig found,Restrict port
82.66.193.132,VULN-00279,MEDIUM,open_port,Misconfig found,Restrict port
221.187.132.192,VULN-00280,LOW,open_port,Open port exposed,Apply patch
175.45.149.80,VULN-00281,CRITICAL,open_port,Weak cipher detected,Fix config
91.107.222.119,VULN-00282,MEDIUM,weak_cipher,Weak cipher detected,Apply patch
128.199.71.66,VULN-00283,HIGH,open_port,Open port exposed,Apply patch
223.46.234.67,VULN-00284,HIGH,config_issue,Weak cipher detected,Restrict port
26.163.149.154,VULN-00285,HIGH,config_issue,Open port exposed,Restrict port
114.45.205.28,VULN-00286,HIGH,open_port,Open port exposed,Apply patch
33.104.131.113,VULN-00287,LOW,config_issue,Misconfig found,Fix config
69.205.29.110,VULN-00288,LOW,open_port,Open port exposed,Restrict port
187.223.148.38,VULN-00289,LOW,config_issue,Open port exposed,Fix config
175.70.41.66,VULN-00290,MEDIUM,config_issue,Weak cipher detected,Apply patch
223.43.5.146,VULN-00291,HIGH,open_port,Open port exposed,Fix config
138.250.67.34,VULN-00292,CRITICAL,config_issue,Open port exposed,Fix config
22.89.93.148,VULN-00293,CRITICAL,config_issue,Open port exposed,Fix config
53.230.228.74,VULN-00294,LOW,open_port,Open port exposed,Restrict port
74.154.135.51,VULN-00295,MEDIUM,open_port,Misconfig found,Restrict port
153.241.117.19,VULN-00296,CRITICAL,config_issue,Weak cipher detected,Fix config
229.216.178.81,VULN-00297,LOW,weak_cipher,Open port exposed,Fix config
89.63.5.156,VULN-00298,LOW,config_issue,Open port exposed,Apply patch
153.116.34.3,VULN-00299,CRITICAL,weak_cipher,Weak cipher detected,Apply patch
213.187.239.147,VULN-00300,MEDIUM,open_port,Misconfig found,Restrict port
14.32.38.64,VULN-00301,HIGH,config_issue,Misconfig found,Fix config
34.4.1.12,VULN-00302,CRITICAL,config_issue,Misconfig found,Restrict port
245.201.131.157,VULN-00303,CRITICAL,open_port,Weak cipher detected,Fix config
90.1.232.40,VULN-00304,HIGH,open_port,Weak cipher detected,Fix config
121.7.113.58,VULN-00305,MEDIUM,config_issue,Open port exposed,Restrict port
131.127.124.16,VULN-00306,LOW,weak_cipher,Misconfig found,Fix config
225.37.160.104,VULN-00307,LOW,weak_cipher,Misconfig found,Fix config
6.81.205.242,VULN-00308,HIGH,open_port,Weak cipher detected,Fix config
176.211.161.41,VULN-00309,HIGH,config_issue,Misconfig found,Apply patch
88.67.143.238,VULN-00310,MEDIUM,weak_cipher,Open port exposed,Fix config
50.114.45.168,VULN-00311,CRITICAL,config_issue,Open port exposed,Restrict port
246.200.26.66,VULN-00312,HIGH,open_port,Misconfig found,Restrict port
124.74.71.46,VULN-00313,CRITICAL,config_issue,Misconfig found,Apply patch
163.12.57.160,VULN-00314,CRITICAL,config_issue,Misconfig found,Fix config
177.170.61.191,VULN-00315,HIGH,weak_cipher,Open port exposed,Apply patch
117.27.219.50,VULN-00316,CRITICAL,config_issue,Misconfig found,Apply patch
58.48.190.179,VULN-00317,MEDIUM,weak_cipher,Weak cipher detected,Apply patch
235.8.22.191,VULN-00318,LOW,config_issue,Weak cipher detected,Apply patch
60.15.40.25,VULN-00319,HIGH,weak_cipher,Weak cipher detected,Restrict port
48.115.97.36,VULN-00320,LOW,weak_cipher,Misconfig found,Fix config
35.140.118.97,VULN-00321,MEDIUM,weak_cipher,Misconfig found,Restrict port
183.137.158.30,VULN-00322,HIGH,weak_cipher,Open port exposed,Apply patch
249.152.67.107,VULN-00323,LOW,open_port,Misconfig found,Restrict port
74.32.239.40,VULN-00324,MEDIUM,weak_cipher,Weak cipher detected,Restrict port
155.188.131.250,VULN-00325,CRITICAL,open_port,Weak cipher detected,Apply patch
150.123.133.239,VULN-00326,MEDIUM,weak_cipher,Open port exposed,Restrict port
26.199.148.202,VULN-00327,MEDIUM,weak_cipher,Weak cipher detected,Apply patch
196.248.91.37,VULN-00328,MEDIUM,config_issue,Open port exposed,Restrict port
187.173.203.222,VULN-00329,LOW,weak_cipher,Weak cipher detected,Restrict port
183.169.124.165,VULN-00330,HIGH,config_issue,Misconfig found,Fix config
31.117.81.136,VULN-00331,LOW,config_issue,Misconfig found,Fix config
159.128.20.9,VULN-00332,MEDIUM,weak_cipher,Open port exposed,Fix config
190.239.163.40,VULN-00333,LOW,config_issue,Open port exposed,Fix config
240.178.213.57,VULN-00334,MEDIUM,config_issue,Misconfig found,Apply patch
84.149.194.28,VULN-00335,LOW,open_port,Misconfig found,Fix config
76.95.37.213,VULN-00336,MEDIUM,weak_cipher,Weak cipher detected,Apply patch
75.14.121.199,VULN-00337,CRITICAL,weak_cipher,Weak cipher detected,Apply patch
226.138.133.170,VULN-00338,MEDIUM,config_issue,Weak cipher detected,Restrict port
152.248.103.66,VULN-00339,MEDIUM,config_issue,Misconfig found,Restrict port
105.127.159.193,VULN-00340,HIGH,config_issue,Misconfig found,Fix config
205.197.182.162,VULN-00341,HIGH,weak_cipher,Weak cipher detected,Fix config
248.211.23.70,VULN-00342,MEDIUM,open_port,Misconfig found,Apply patch
163.45.74.32,VULN-00343,CRITICAL,weak_cipher,Misconfig found,Fix config
181.27.25.244,VULN-00344,CRITICAL,config_issue,Misconfig found,Restrict port
198.183.181.254,VULN-00345,CRITICAL,weak_cipher,Misconfig found,Fix config
91.98.167.26,VULN-00346,MEDIUM,weak_cipher,Open port exposed,Fix config
224.87.54.93,VULN-00347,MEDIUM,weak_cipher,Misconfig found,Restrict port
95.128.126.16,VULN-00348,MEDIUM,config_issue,Open port exposed,Fix config
226.28.150.178,VULN-00349,CRITICAL,config_issue,Misconfig found,Apply patch
163.100.128.58,VULN-00350,CRITICAL,open_port,Open port exposed,Apply patch
47.154.24.97,VULN-00351,MEDIUM,open_port,Weak cipher detected,Fix config
184.37.61.231,VULN-00352,HIGH,weak_cipher,Weak cipher detected,Restrict port
120.236.116.245,VULN-00353,MEDIUM,weak_cipher,Weak cipher detected,Apply patch
40.112.59.236,VULN-00354,MEDIUM,weak_cipher,Misconfig found,Fix config
