host,policy_id,standard,status,detail
148.8.248.92,P-0044,NIST-CSF,FAIL,MFA enabled
194.131.154.238,P-0045,ISO27001,FAIL,MFA enabled
127.190.218.66,P-0046,ISO27001,FAIL,MFA enabled
89.167.227.198,P-0047,NIST-CSF,PASS,MFA enabled
38.251.160.111,P-0048,SOC2,FAIL,TLS>=1.2 enforced
135.155.147.147,P-0049,ISO27001,FAIL,TLS>=1.2 enforced
158.251.237.228,P-0050,NIST-CSF,FAIL,SSH root disabled
91.196.231.218,P-0051,SOC2,PASS,TLS>=1.2 enforced
198.159.16.117,P-0052,ISO27001,PASS,TLS>=1.2 enforced
73.116.134.144,P-0053,SOC2,FAIL,TLS>=1.2 enforced
201.82.1.88,P-0054,NIST-CSF,FAIL,TLS>=1.2 enforced
5.18.45.19,P-0055,SOC2,PASS,TLS>=1.2 enforced
253.204.188.173,P-0056,NIST-CSF,PASS,SSH root disabled
136.162.68.101,P-0057,SOC2,FAIL,SSH root disabled
97.107.129.251,P-0058,SOC2,PASS,SSH root disabled
217.61.132.229,P-0059,NIST-CSF,FAIL,SSH root disabled
42.215.203.104,P-0060,SOC2,FAIL,TLS>=1.2 enforced
252.68.244.114,P-0061,SOC2,PASS,MFA enabled
116.32.60.161,P-0062,NIST-CSF,FAIL,TLS>=1.2 enforced
147.167.59.227,P-0063,ISO27001,PASS,TLS>=1.2 enforced
79.237.94.153,P-0064,SOC2,FAIL,SSH root disabled
247.101.150.225,P-0065,NIST-CSF,FAIL,SSH root disabled
174.145.82.104,P-0066,NIST-CSF,PASS,SSH root disabled
54.158.81.234,P-0067,NIST-CSF,PASS,TLS>=1.2 enforced
33.115.222.153,P-0068,NIST-CSF,FAIL,MFA enabled
52.2.81.160,P-0069,NIST-CSF,FAIL,SSH root disabled
43.109.119.107,P-0070,ISO27001,FAIL,SSH root disabled
48.86.208.106,P-0071,ISO27001,PASS,MFA enabled
38.2.10.35,P-0072,SOC2,FAIL,MFA enabled
30.41.115.15,P-0073,ISO27001,PASS,MFA enabled
126.4.92.241,P-0074,ISO27001,PASS,MFA enabled
125.131.131.197,P-0075,NIST-CSF,FAIL,TLS>=1.2 enforced
142.212.208.36,P-0076,SOC2,FAIL,TLS>=1.2 enforced
198.165.157.232,P-0077,NIST-CSF,PASS,MFA enabled
31.151.200.14,P-0078,SOC2,FAIL,TLS>=1.2 enforced
59.13.216.103,P-0079,NIST-CSF,FAIL,MFA enabled
219.15.90.88,P-0080,ISO27001,FAIL,SSH root disabled
48.74.129.234,P-0081,SOC2,PASS,SSH root disabled
52.190.208.133,P-0082,ISO27001,FAIL,SSH root disabled
211.69.17.41,P-0083,NIST-CSF,PASS,MFA enabled
142.7.232.143,P-0084,ISO27001,PASS,SSH root disabled
242.130.93.229,P-0085,SOC2,FAIL,TLS>=1.2 enforced
48.111.64.141,P-0086,ISO27001,PASS,SSH root disabled
34.106.105.107,P-0087,SOC2,PASS,SSH root disabled
9.139.97.103,P-0088,ISO27001,PASS,SSH root disabled
30.77.230.121,P-0089,SOC2,FAIL,MFA enabled
40.242.223.147,P-0090,SOC2,PASS,TLS>=1.2 enforced
222.52.227.250,P-0091,SOC2,FAIL,SSH root disabled
234.90.229.1,P-0092,SOC2,FAIL,SSH root disabled
224.244.217.172,P-0093,SOC2,FAIL,TLS>=1.2 enforced
148.1.87.250,P-0094,ISO27001,PASS,SSH root disabled
126.3.249.178,P-0095,NIST-CSF,PASS,MFA enabled
69.52.206.176,P-0096,NIST-CSF,FAIL,SSH root disabled
96.120.214.145,P-0097,NIST-CSF,PASS,MFA enabled
110.82.146.145,P-0098,SOC2,FAIL,SSH root disabled
93.115.194.149,P-0099,ISO27001,FAIL,SSH root disabled
236.192.73.156,P-0100,SOC2,PASS,SSH root disabled
133.228.250.36,P-0101,NIST-CSF,FAIL,TLS>=1.2 enforced
122.97.216.82,P-0102,SOC2,PASS,TLS>=1.2 enforced
117.238.240.55,P-0103,SOC2,FAIL,TLS>=1.2 enforced
66.80.224.224,P-0104,ISO27001,PASS,SSH root disabled
163.71.11.232,P-0105,SOC2,PASS,MFA enabled
145.220.142.187,P-0106,NIST-CSF,FAIL,TLS>=1.2 enforced
38.225.72.126,P-0107,SOC2,FAIL,SSH root disabled
241.188.24.208,P-0108,ISO27001,FAIL,TLS>=1.2 enforced
108.39.135.222,P-0109,SOC2,FAIL,MFA enabled
229.216.245.158,P-0110,ISO27001,PASS,TLS>=1.2 enforced
189.84.209.19,P-0111,NIST-CSF,PASS,MFA enabled
225.69.170.180,P-0112,SOC2,PASS,MFA enabled
209.171.77.188,P-0113,SOC2,PASS,SSH root disabled
89.182.133.19,P-0114,NIST-CSF,FAIL,TLS>=1.2 enforced
7.196.22.129,P-0115,NIST-CSF,FAIL,TLS>=1.2 enforced
122.123.106.52,P-0116,NIST-CSF,PASS,TLS>=1.2 enforced
188.211.22.151,P-0117,SOC2,PASS,TLS>=1.2 enforced
166.203.97.169,P-0118,ISO27001,PASS,SSH root disabled
187.9.108.253,P-0119,SOC2,PASS,MFA enabled
31.73.14.151,P-0120,NIST-CSF,FAIL,SSH root disabled
203.6.209.179,P-0121,NIST-CSF,FAIL,TLS>=1.2 enforced
50.70.211.199,P-0122,SOC2,FAIL,SSH root disabled
211.208.96.121,P-0123,NIST-CSF,PASS,TLS>=1.2 enforced
141.25.118.190,P-0124,ISO27001,FAIL,SSH root disabled
175.209.56.233,P-0125,SOC2,PASS,MFA enabled
193.234.10.117,P-0126,SOC2,PASS,SSH root disabled
160.143.97.57,P-0127,SOC2,FAIL,TLS>=1.2 enforced
216.143.178.229,P-0128,SOC2,FAIL,SSH root disabled
45.143.142.63,P-0129,ISO27001,FAIL,TLS>=1.2 enforced
100.106.111.140,P-0130,SOC2,PASS,TLS>=1.2 enforced
235.192.57.98,P-0131,NIST-CSF,FAIL,SSH root disabled
128.216.64.166,P-0132,ISO27001,PASS,TLS>=1.2 enforced
233.20.156.59,P-0133,NIST-CSF,PASS,MFA enabled
64.29.141.104,P-0134,SOC2,PASS,MFA enabled
128.221.131.57,P-0135,ISO27001,FAIL,SSH root disabled
147.196.246.171,P-0136,ISO27001,FAIL,TLS>=1.2 enforced
245.14.182.126,P-0137,NIST-CSF,PASS,TLS>=1.2 enforced
167.34.35.105,P-0138,SOC2,PASS,MFA enabled
253.150.164.202,P-0139,NIST-CSF,PASS,TLS>=1.2 enforced
2.217.155.44,P-0140,ISO27001,FAIL,MFA enabled
249.161.80.196,P-0141,ISO27001,PASS,TLS>=1.2 enforced
37.33.28.238,P-0142,SOC2,FAIL,SSH root disabled
97.99.42.239,P-0143,ISO27001,PASS,MFA enabled
212.232.172.114,P-0144,NIST-CSF,PASS,TLS>=1.2 enforced
252.196.166.25,P-0145,NIST-CSF,PASS,TLS>=1.2 enforced
227.135.135.160,P-0146,NIST-CSF,FAIL,MFA enabled
236.131.245.225,P-0147,ISO27001,PASS,TLS>=1.2 enforced
209.253.149.209,P-0148,NIST-CSF,FAIL,SSH root disabled
248.124.162.99,P-0149,SOC2,PASS,TLS>=1.2 enforced
40.249.200.93,P-0150,NIST-CSF,FAIL,TLS>=1.2 enforced
233.14.134.47,P-0151,ISO27001,PASS,TLS>=1.2 enforced
96.127.57.225,P-0152,ISO27001,PASS,MFA enabled
54.4.140.172,P-0153,SOC2,FAIL,TLS>=1.2 enforced
85.139.187.127,P-0154,ISO27001,PASS,SSH root disabled
33.64.101.96,P-0155,ISO27001,PASS,SSH root disabled
36.163.139.190,P-0156,ISO27001,FAIL,SSH root disabled
141.196.89.165,P-0157,NIST-CSF,PASS,SSH root disabled
117.27.108.30,P-0158,SOC2,PASS,SSH root disabled
74.134.176.148,P-0159,ISO27001,PASS,MFA enabled
6.108.37.2,P-0160,SOC2,PASS,SSH root disabled
10.153.157.44,P-0161,ISO27001,PASS,TLS>=1.2 enforced
164.191.121.22,P-0162,NIST-CSF,FAIL,SSH root disabled
118.70.99.91,P-0163,NIST-CSF,FAIL,MFA enabled
233.139.2.137,P-0164,ISO27001,PASS,TLS>=1.2 enforced
134.127.160.217,P-0165,SOC2,FAIL,TLS>=1.2 enforced
251.215.192.99,P-0166,ISO27001,FAIL,TLS>=1.2 enforced
121.37.171.141,P-0167,NIST-CSF,FAIL,SSH root disabled
15.32.82.83,P-0168,ISO27001,FAIL,MFA enabled
10.244.53.82,P-0169,ISO27001,FAIL,TLS>=1.2 enforced
51.57.52.53,P-0170,NIST-CSF,FAIL,SSH root disabled
173.204.9.146,P-0171,ISO27001,PASS,TLS>=1.2 enforced
75.70.78.115,P-0172,SOC2,PASS,SSH root disabled
17.98.76.223,P-0173,SOC2,PASS,SSH root disabled
110.20.129.203,P-0174,SOC2,PASS,TLS>=1.2 enforced
35.118.156.3,P-0175,ISO27001,PASS,SSH root disabled
239.80.3.215,P-0176,ISO27001,PASS,TLS>=1.2 enforced
234.157.243.247,P-0177,SOC2,FAIL,TLS>=1.2 enforced
101.189.117.254,P-0178,SOC2,FAIL,TLS>=1.2 enforced
16.233.134.45,P-0179,NIST-CSF,PASS,SSH root disabled
129.161.250.198,P-0180,SOC2,FAIL,SSH root disabled
237.211.18.38,P-0181,ISO27001,PASS,SSH root disabled
90.197.222.137,P-0182,NIST-CSF,FAIL,SSH root disabled
229.213.185.104,P-0183,SOC2,FAIL,MFA enabled
33.143.210.237,P-0184,NIST-CSF,PASS,MFA enabled
218.133.212.70,P-0185,ISO27001,FAIL,SSH root disabled
73.128.175.158,P-0186,SOC2,PASS,MFA enabled
118.151.69.142,P-0187,SOC2,PASS,TLS>=1.2 enforced
229.98.51.192,P-0188,ISO27001,PASS,SSH root disabled
94.21.90.48,P-0189,ISO27001,FAIL,TLS>=1.2 enforced
12.121.99.179,P-0190,NIST-CSF,PASS,TLS>=1.2 enforced
228.219.107.109,P-0191,SOC2,PASS,SSH root disabled
228.37.15.34,P-0192,NIST-CSF,FAIL,MFA enabled
54.83.184.133,P-0193,ISO27001,FAIL,SSH root disabled
191.128.83.55,P-0194,ISO27001,PASS,TLS>=1.2 enforced
97.147.138.99,P-0195,NIST-CSF,PASS,TLS>=1.2 enforced
217.11.227.250,P-0196,ISO27001,PASS,TLS>=1.2 enforced
217.202.22.1,P-0197,SOC2,PASS,TLS>=1.2 enforced
142.64.157.176,P-0198,NIST-CSF,PASS,MFA enabled
29.116.251.130,P-0199,NIST-CSF,FAIL,MFA enabled
126.159.71.74,P-0200,ISO27001,FAIL,TLS>=1.2 enforced
98.32.226.18,P-0201,NIST-CSF,PASS,TLS>=1.2 enforced
126.153.109.38,P-0202,NIST-CSF,FAIL,SSH root disabled
219.69.123.104,P-0203,NIST-CSF,FAIL,SSH root disabled
212.6.14.217,P-0204,NIST-CSF,FAIL,MFA enabled
211.134.203.49,P-0205,NIST-CSF,FAIL,TLS>=1.2 enforced
182.12.151.114,P-0206,SOC2,PASS,SSH root disabled
21.46.112.172,P-0207,NIST-CSF,FAIL,MFA enabled
38.173.163.7,P-0208,NIST-CSF,PASS,TLS>=1.2 enforced
89.58.10.252,P-0209,SOC2,PASS,SSH root disabled
96.48.131.167,P-0210,ISO27001,PASS,MFA enabled
219.32.229.177,P-0211,ISO27001,FAIL,MFA enabled
172.45.241.148,P-0212,ISO27001,PASS,TLS>=1.2 enforced
85.207.222.203,P-0213,SOC2,PASS,TLS>=1.2 enforced
189.181.82.230,P-0214,SOC2,FAIL,TLS>=1.2 enforced
171.173.173.92,P-0215,SOC2,FAIL,TLS>=1.2 enforced
42.220.100.19,P-0216,NIST-CSF,FAIL,SSH root disabled
198.155.126.95,P-0217,NIST-CSF,FAIL,SSH root disabled
115.55.204.245,P-0218,NIST-CSF,FAIL,TLS>=1.2 enforced
236.102.135.117,P-0219,ISO27001,PASS,TLS>=1.2 enforced
95.95.225.81,P-0220,NIST-CSF,FAIL,SSH root disabled
222.233.192.114,P-0221,ISO27001,PASS,SSH root disabled
40.45.223.200,P-0222,NIST-CSF,PASS,SSH root disabled
74.180.123.91,P-0223,ISO27001,FAIL,MFA enabled
156.93.190.15,P-0224,ISO27001,FAIL,TLS>=1.2 enforced
239.161.214.162,P-0225,NIST-CSF,FAIL,SSH root disabled
4.204.158.200,P-0226,ISO27001,PASS,MFA enabled
46.2.201.18,P-0227,SOC2,FAIL,TLS>=1.2 enforced
193.32.31.76,P-0228,SOC2,PASS,TLS>=1.2 enforced
93.47.114.62,P-0229,ISO27001,PASS,TLS>=1.2 enforced
239.70.87.248,P-0230,SOC2,FAIL,MFA enabled
120.248.122.125,P-0231,SOC2,PASS,TLS>=1.2 enforced
49.126.22.245,P-0232,SOC2,PASS,SSH root disabled
248.55.65.119,P-0233,ISO27001,PASS,SSH root disabled
86.195.186.129,P-0234,NIST-CSF,FAIL,TLS>=1.2 enforced
208.197.63.188,P-0235,NIST-CSF,FAIL,MFA enabled
224.94.157.209,P-0236,ISO27001,FAIL,SSH root disabled
61.193.182.29,P-0237,ISO27001,PASS,SSH root disabled
107.102.21.59,P-0238,ISO27001,FAIL,SSH root disabled
13.222.226.62,P-0239,SOC2,PASS,SSH root disabled
96.112.44.96,P-0240,SOC2,FAIL,TLS>=1.2 enforced
101.142.89.61,P-0241,SOC2,PASS,MFA enabled
72.179.186.188,P-0242,NIST-CSF,FAIL,TLS>=1.2 enforced
46.43.160.58,P-0243,NIST-CSF,PASS,SSH root disabled
80.62.64.72,P-0244,SOC2,FAIL,TLS>=1.2 enforced
149.207.19.103,P-0245,ISO27001,FAIL,SSH root disabled
151.125.29.224,P-0246,ISO27001,FAIL,SSH root disabled
29.235.132.232,P-0247,SOC2,FAIL,TLS>=1.2 enforced
101.36.231.143,P-0248,SOC2,FAIL,TLS>=1.2 enforced
214.187.158.154,P-0249,ISO27001,PASS,TLS>=1.2 enforced
192.130.182.139,P-0250,SOC2,PASS,TLS>=1.2 enforced
232.243.122.207,P-0251,NIST-CSF,PASS,MFA enabled
133.4.232.61,P-0252,ISO27001,PASS,TLS>=1.2 enforced
84.100.92.231,P-0253,SOC2,PASS,MFA enabled
89.30.62.27,P-0254,SOC2,PASS,SSH root disabled
252.246.116.124,P-0255,NIST-CSF,PASS,MFA enabled
211.96.138.95,P-0256,ISO27001,PASS,SSH root disabled
191.117.1.221,P-0257,NIST-CSF,FAIL,SSH root disabled
96.7.197.89,P-0258,ISO27001,FAIL,SSH root disabled
184.23.5.72,P-0259,NIST-CSF,PASS,SSH root disabled
213.166.115.144,P-0260,ISO27001,FAIL,MFA enabled
208.183.61.115,P-0261,NIST-CSF,FAIL,TLS>=1.2 enforced
108.8.194.108,P-0262,NIST-CSF,FAIL,SSH root disabled
109.26.78.156,P-0263,NIST-CSF,PASS,SSH root disabled
35.59.173.233,P-0264,ISO27001,PASS,SSH root disabled
37.149.179.86,P-0265,SOC2,FAIL,SSH root disabled
52.124.143.131,P-0266,SOC2,FAIL,MFA enabled
183.156.170.205,P-0267,NIST-CSF,PASS,TLS>=1.2 enforced
23.15.129.68,P-0268,ISO27001,PASS,TLS>=1.2 enforced
137.105.178.100,P-0269,SOC2,FAIL,MFA enabled
172.217.21.9,P-0270,NIST-CSF,FAIL,TLS>=1.2 enforced
210.62.155.87,P-0271,SOC2,FAIL,MFA enabled
227.240.115.108,P-0272,ISO27001,PASS,TLS>=1.2 enforced
131.9.164.147,P-0273,SOC2,PASS,MFA enabled
2.107.185.156,P-0274,NIST-CSF,PASS,MFA enabled
160.64.68.113,P-0275,SOC2,PASS,TLS>=1.2 enforced
200.30.247.44,P-0276,NIST-CSF,PASS,TLS>=1.2 enforced
203.28.169.107,P-0277,NIST-CSF,FAIL,SSH root disabled
59.97.2.148,P-0278,NIST-CSF,PASS,MFA enabled
71.67.157.190,P-0279,NIST-CSF,FAIL,SSH root disabled
235.177.237.84,P-0280,SOC2,FAIL,SSH root disabled
172.155.32.142,P-0281,SOC2,FAIL,TLS>=1.2 enforced
205.68.210.5,P-0282,ISO27001,FAIL,MFA enabled
191.51.3.94,P-0283,SOC2,FAIL,SSH root disabled
41.109.26.155,P-0284,ISO27001,FAIL,MFA enabled
165.79.54.108,P-0285,NIST-CSF,PASS,MFA enabled
183.20.59.211,P-0286,SOC2,PASS,MFA enabled
156.113.71.4,P-0287,ISO27001,PASS,SSH root disabled
81.199.57.138,P-0288,ISO27001,PASS,SSH root disabled
89.72.4.107,P-0289,ISO27001,FAIL,TLS>=1.2 enforced
26.234.242.201,P-0290,SOC2,FAIL,SSH root disabled
181.149.218.73,P-0291,SOC2,FAIL,SSH root disabled
251.43.181.206,P-0292,NIST-CSF,PASS,SSH root disabled
183.221.34.161,P-0293,NIST-CSF,FAIL,SSH root disabled
194.30.249.194,P-0294,ISO27001,FAIL,MFA enabled
250.48.12.217,P-0295,ISO27001,PASS,SSH root disabled
140.40.138.213,P-0296,ISO27001,PASS,TLS>=1.2 enforced
233.87.251.29,P-0297,NIST-CSF,FAIL,TLS>=1.2 enforced
192.203.152.2,P-0298,SOC2,PASS,TLS>=1.2 enforced
149.227.60.172,P-0299,SOC2,FAIL,TLS>=1.2 enforced
24.54.72.148,P-0300,NIST-CSF,PASS,TLS>=1.2 enforced
39.16.49.88,P-0301,NIST-CSF,PASS,TLS>=1.2 enforced
214.242.46.219,P-0302,SOC2,PASS,TLS>=1.2 enforced
236.20.88.62,P-0303,SOC2,FAIL,MFA enabled
57.150.213.71,P-0304,ISO27001,FAIL,SSH root disabled
110.204.210.58,P-0305,SOC2,PASS,SSH root disabled
137.205.233.129,P-0306,NIST-CSF,FAIL,TLS>=1.2 enforced
145.228.89.8,P-0307,SOC2,PASS,TLS>=1.2 enforced
134.213.5.21,P-0308,NIST-CSF,PASS,MFA enabled
64.76.231.149,P-0309,NIST-CSF,FAIL,MFA enabled
124.4.74.2,P-0310,ISO27001,PASS,TLS>=1.2 enforced
16.58.186.78,P-0311,NIST-CSF,FAIL,TLS>=1.2 enforced
242.169.86.121,P-0312,ISO27001,FAIL,MFA enabled
192.42.31.85,P-0313,SOC2,PASS,SSH root disabled
106.231.175.68,P-0314,SOC2,PASS,TLS>=1.2 enforced
190.87.110.249,P-0315,NIST-CSF,PASS,SSH root disabled
157.172.200.246,P-0316,NIST-CSF,FAIL,MFA enabled
45.25.147.13,P-0317,NIST-CSF,PASS,TLS>=1.2 enforced
27.191.52.96,P-0318,ISO27001,FAIL,SSH root disabled
251.249.224.236,P-0319,SOC2,FAIL,SSH root disabled
206.61.20.133,P-0320,SOC2,FAIL,SSH root disabled
119.62.152.121,P-0321,ISO27001,FAIL,TLS>=1.2 enforced
7.73.240.50,P-0322,SOC2,PASS,MFA enabled
32.246.66.216,P-0323,ISO27001,PASS,SSH root disabled
212.150.4.12,P-0324,NIST-CSF,PASS,TLS>=1.2 enforced
86.71.116.146,P-0325,ISO27001,FAIL,SSH root disabled
38.82.94.178,P-0326,ISO27001,FAIL,MFA enabled
138.27.130.169,P-0327,NIST-CSF,FAIL,SSH root disabled
196.145.192.229,P-0328,ISO27001,PASS,SSH root disabled
77.216.189.194,P-0329,SOC2,FAIL,MFA enabled
16.181.155.6,P-0330,SOC2,FAIL,SSH root disabled
200.111.95.210,P-0331,SOC2,PASS,TLS>=1.2 enforced
187.131.218.117,P-0332,ISO27001,FAIL,TLS>=1.2 enforced
212.70.235.195,P-0333,ISO27001,FAIL,SSH root disabled
85.55.114.231,P-0334,ISO27001,FAIL,SSH root disabled
203.13.35.10,P-0335,NIST-CSF,FAIL,TLS>=1.2 enforced
72.41.88.125,P-0336,ISO27001,FAIL,SSH root disabled
45.144.59.140,P-0337,SOC2,FAIL,MFA enabled
97.253.235.16,P-0338,ISO27001,PASS,SSH root disabled
75.115.16.123,P-0339,SOC2,FAIL,SSH root disabled
47.247.78.131,P-0340,SOC2,PASS,MFA enabled
53.112.224.23,P-0341,SOC2,PASS,SSH root disabled
153.1.210.30,P-0342,NIST-CSF,PASS,SSH root disabled
117.67.45.28,P-0343,ISO27001,PASS,TLS>=1.2 enforced
66.50.41.24,P-0344,ISO27001,PASS,SSH root disabled
99.239.47.160,P-0345,ISO27001,PASS,SSH root disabled
35.88.80.7,P-0346,ISO27001,FAIL,TLS>=1.2 enforced
132.208.110.84,P-0347,SOC2,PASS,SSH root disabled
98.4.88.249,P-0348,SOC2,PASS,MFA enabled
193.250.205.163,P-0349,NIST-CSF,PASS,SSH root disabled
182.25.49.120,P-0350,SOC2,PASS,MFA enabled
167.126.151.43,P-0351,SOC2,PASS,TLS>=1.2 enforced
116.81.3.193,P-0352,SOC2,PASS,TLS>=1.2 enforced
214.107.94.170,P-0353,SOC2,PASS,TLS>=1.2 enforced
114.181.110.66,P-0354,ISO27001,PASS,TLS>=1.2 enforced
84.8.236.156,P-0355,NIST-CSF,PASS,MFA enabled
73.40.134.26,P-0356,ISO27001,FAIL,SSH root disabled
29.77.142.21,P-0357,SOC2,PASS,SSH root disabled
39.162.144.13,P-0358,SOC2,PASS,MFA enabled
16.173.240.66,P-0359,SOC2,FAIL,SSH root disabled
107.73.150.242,P-0360,ISO27001,PASS,TLS>=1.2 enforced
105.160.135.200,P-0361,ISO27001,FAIL,MFA enabled
244.254.72.7,P-0362,SOC2,PASS,SSH root disabled
179.133.222.235,P-0363,SOC2,FAIL,TLS>=1.2 enforced
81.138.238.146,P-0364,NIST-CSF,FAIL,TLS>=1.2 enforced
106.46.236.31,P-0365,ISO27001,FAIL,SSH root disabled
78.245.42.252,P-0366,ISO27001,FAIL,SSH root disabled
196.56.138.144,P-0367,NIST-CSF,PASS,MFA enabled
141.106.56.226,P-0368,SOC2,FAIL,MFA enabled
37.57.8.110,P-0369,ISO27001,FAIL,MFA enabled
172.224.183.52,P-0370,SOC2,FAIL,SSH root disabled
57.78.76.229,P-0371,SOC2,PASS,TLS>=1.2 enforced
249.235.227.251,P-0372,ISO27001,FAIL,SSH root disabled
117.250.198.36,P-0373,NIST-CSF,PASS,SSH root disabled
175.171.146.140,P-0374,NIST-CSF,PASS,MFA enabled
172.182.27.224,P-0375,NIST-CSF,FAIL,TLS>=1.2 enforced
111.97.4.233,P-0376,SOC2,FAIL,SSH root disabled
90.151.56.30,P-0377,SOC2,PASS,TLS>=1.2 enforced
17.236.16.205,P-0378,ISO27001,PASS,MFA enabled
4.236.21.247,P-0379,SOC2,PASS,SSH root disabled
1.158.2.22,P-0380,NIST-CSF,FAIL,MFA enabled
118.60.90.25,P-0381,SOC2,FAIL,SSH root disabled
140.144.224.20,P-0382,ISO27001,FAIL,MFA enabled
104.239.7.228,P-0383,SOC2,FAIL,TLS>=1.2 enforced
77.225.70.183,P-0384,SOC2,FAIL,TLS>=1.2 enforced
200.201.40.238,P-0385,ISO27001,PASS,SSH root disabled
63.120.208.191,P-0386,ISO27001,FAIL,MFA enabled
73.164.232.49,P-0387,SOC2,PASS,SSH root disabled
86.24.240.174,P-0388,SOC2,PASS,SSH root disabled
238.201.252.178,P-0389,ISO27001,PASS,TLS>=1.2 enforced
18.210.30.231,P-0390,NIST-CSF,FAIL,MFA enabled
186.42.121.75,P-0391,SOC2,PASS,MFA enabled
188.149.172.196,P-0392,NIST-CSF,FAIL,SSH root disabled
113.125.40.63,P-0393,NIST-CSF,FAIL,TLS>=1.2 enforced
111.30.53.157,P-0394,ISO27001,FAIL,TLS>=1.2 enforced
4.107.131.69,P-0395,ISO27001,PASS,MFA enabled
231.239.22.207,P-0396,SOC2,FAIL,MFA enabled
144.31.96.254,P-0397,SOC2,FAIL,SSH root disabled
237.201.199.80,P-0398,ISO27001,PASS,MFA enabled
86.31.54.37,P-0399,SOC2,FAIL,MFA enabled
88.30.232.113,P-0400,ISO27001,PASS,MFA enabled
127.188.40.18,P-0401,SOC2,PASS,TLS>=1.2 enforced
211.71.131.118,P-0402,NIST-CSF,PASS,SSH root disabled
233.117.242.32,P-0403,ISO27001,PASS,SSH root disabled
175.17.88.217,P-0404,NIST-CSF,PASS,SSH root disabled
127.89.91.251,P-0405,ISO27001,FAIL,TLS>=1.2 enforced
107.228.66.33,P-0406,NIST-CSF,FAIL,TLS>=1.2 enforced
126.54.109.10,P-0407,ISO27001,FAIL,SSH root disabled
10.26.185.58,P-0408,NIST-CSF,PASS,TLS>=1.2 enforced
10.43.225.154,P-0409,SOC2,PASS,TLS>=1.2 enforced
125.219.62.125,P-0410,ISO27001,FAIL,TLS>=1.2 enforced
127.72.36.127,P-0411,ISO27001,FAIL,TLS>=1.2 enforced
40.115.95.92,P-0412,NIST-CSF,PASS,SSH root disabled
142.208.40.124,P-0413,SOC2,FAIL,MFA enabled
186.59.37.170,P-0414,SOC2,PASS,SSH root disabled
250.126.125.82,P-0415,SOC2,PASS,SSH root disabled
150.32.146.10,P-0416,SOC2,FAIL,TLS>=1.2 enforced
26.169.95.72,P-0417,NIST-CSF,PASS,SSH root disabled
83.85.37.238,P-0418,NIST-CSF,FAIL,SSH root disabled
160.137.70.77,P-0419,ISO27001,FAIL,MFA enabled
105.161.222.122,P-0420,SOC2,PASS,TLS>=1.2 enforced
